Match ID,Name,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
1,Alexander Volkov,150,-182,150.0,54.94505495,2/6/2021,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,5,0,1,0,4.76,0.58,0.2,0.69,0.7,4,2,26,0,0,1,2,3,0,0,6,Orthodox,200.66,203.2,250,0,2,0,3.71,0.64,0.8,1.44,0.56,11,15,83,1,1,0,4,20,8,0,33,Orthodox,193.04,203.2,265,40,32,0,-1,-7,-27,-13,-57,-1,-17,-8,7.62,0.0,-8,1.05,-0.6,-0.75,1,1,6,5,,,,,5.0,,,,,,,,,,,,,6.0,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cory Sandhagen,-400,300,25.0,300.0,2/6/2021,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,1,1,3.7,0.39,0.3,2.28,0.31,5,8,94,9,0,1,10,5,2,0,18,Orthodox,167.64,172.72,135,0,1,0,6.88,0.48,0.5,1.07,0.5,5,1,14,0,0,1,1,3,1,0,6,Switch,180.34,177.8,135,28,39,0,0,0,12,7,80,9,2,1,-12.7,-5.08,11,-3.18,-0.2,1.21,1,1,4,2,,,,,,,,,,,2.0,,,,,,,,,,,,,4.0,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Alexandre Pantoja,-125,100,80.0,100.0,2/6/2021,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,165.1,172.72,125,1,0,0,4.2,0.47,1.1,1.08,0.36,3,3,21,0,0,1,1,2,2,0,6,Orthodox,165.1,170.18,125,30,27,-1,0,-3,-6,-3,-21,0,-2,-2,0.0,2.54,-3,-4.2,-1.1,-1.08,1,1,,5,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Beneil Dariush,-125,105,80.0,105.0,2/6/2021,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,5,1,3.98,0.49,1.1,1.75,0.32,5,4,36,0,0,1,4,3,5,0,13,Southpaw,177.8,182.88,155,0,6,0,5.07,0.36,1.0,1.04,0.27,6,2,21,0,0,0,3,3,2,0,8,Orthodox,175.26,187.96,155,36,31,0,-1,-1,5,2,15,0,0,3,2.54,-5.08,-5,-1.09,0.1,0.71,1,1,13,10,,,,,,,,,10.0,,,,,,,,,,,,,13.0,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Clay Guida,-225,175,44.44444444,175.0,2/6/2021,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,2,0,0,2.41,0.33,0.7,3.37,0.38,4,15,87,0,0,3,8,2,4,0,17,Orthodox,170.18,177.8,155,3,0,0,4.23,0.38,0.1,0.51,0.45,4,12,58,0,0,1,6,4,0,0,11,Southpaw,177.8,185.42,155,34,39,-1,0,0,6,3,29,0,-2,4,-7.62,-7.62,5,-1.82,0.6,2.86,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Danilo Marques,-240,188,41.66666667,188.0,2/6/2021,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,MALE,3,0,1,0,1.07,0.72,0.0,4.0,0.25,1,0,3,0,0,0,1,0,0,0,1,Orthodox,198.12,195.58,205,1,0,0,5.19,0.59,0.0,0.0,0.0,1,3,13,0,0,0,0,3,0,0,3,Southpaw,193.04,208.28,205,32,35,-1,1,0,-2,-3,-10,0,-3,0,5.08,-12.7,3,-4.12,0.0,4.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lara Procopio,-177,140,56.49717514,140.0,2/6/2021,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,1,0,0,11.0,0.56,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,162.56,170.18,125,1,0,0,5.75,0.49,0.7,2.01,0.29,3,2,14,0,0,0,3,0,0,0,3,Orthodox,162.56,157.48,125,30,25,0,0,-3,-3,-1,-11,0,0,0,0.0,12.7,-5,5.25,-0.7,-2.01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SeungWoo Choi,175,-230,175.0,43.47826087,2/6/2021,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,1,0,0,2.68,0.51,1.5,2.25,0.42,3,1,12,0,0,0,3,0,0,0,3,Switch,177.8,182.88,145,0,1,0,3.33,0.42,0.0,0.69,0.5,1,2,9,0,0,0,1,0,0,0,1,Orthodox,182.88,187.96,145,28,24,1,-1,2,2,-1,3,0,0,0,-5.08,-5.08,-4,-0.65,1.5,1.56,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Dustin Poirier,250,-305,250.0,32.78688525,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Lightweight,MALE,5,0,1,0,5.43,0.49,0.0,0.75,0.62,7,2,25,4,1,0,1,8,0,0,10,Southpaw,175.26,187.96,155,0,1,0,5.57,0.5,1.3,1.46,0.35,5,6,62,2,1,0,6,9,3,0,19,Southpaw,175.26,182.88,155,32,32,0,0,2,-9,-4,-37,2,-1,-3,0.0,5.08,0,-0.14,-1.3,-0.71,0,1,Dustin Poirier,Conor McGregor,4.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Michael Chandler,-134,105,74.62686567,105.0,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,MALE,3,0,2,0,4.08,0.47,1.5,2.57,0.41,2,0,3,0,0,0,0,1,1,0,2,Orthodox,172.72,180.34,155,1,0,0,4.98,0.48,0.3,0.74,0.34,4,5,37,0,0,1,1,6,2,0,10,Switch,182.88,190.5,155,30,34,-1,2,-2,-8,-5,-34,0,-5,-1,-10.16,-10.16,4,-0.9,1.2,1.83,0,1,Dan Hooker,Michael Chandler,,6.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,
